reference_id,filename,source_path,bytes,sha256,width,height,format,mode,alpha_observed,alpha_expected,alpha_extrema,alpha_bbox,duplicate_count,status,classification,ambiguity
E01,final_environment_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I1\final_environment_portrait_v01.webp,157294,1E8B599BE197EE26E346B1B1974CAA571DE42AF4B8587758C801C914C04C1347,1440,2560,WEBP,RGBA,yes,no,"[0,255]","[0,0,1440,2558]",1,PASS_WITH_DOCUMENTED_ALPHA_DEVIATION,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,"expected alpha=no, observed alpha=yes"
E02,final_environment_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I2\final_environment_landscape_v01.webp,212234,EDB75703A398724B9084D800CF21B888D72B6028C4199DC1D7A2C5F5CC0D1D84,2560,1440,WEBP,RGB,no,no,,,1,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,
E03,final_valley_depth_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I3\final_valley_depth_portrait_v01.webp,108270,F64326254C5215CB44E0F9D93134B425E8806EA41E27556A4BBC40EA36D71E99,1440,2560,WEBP,RGBA,yes,yes,"[0,255]","[0,284,1440,2347]",1,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,
E04,final_valley_depth_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I4\final_valley_depth_landscape_v01.webp,107632,FA9999A33EA636F57FA901D8C06B4FF9694A27F66704DAE7968B9E2DC45EC42B,2560,1440,WEBP,RGBA,yes,yes,"[0,255]","[20,10,2480,1439]",1,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,
E05,final_mirador_foreground_portrait_v01.webp,C:\Users\JOSE DAVID\Downloads\I5\final_mirador_foreground_portrait_v01.webp,124114,19290CF1995A8FAB2B643BEBC88126D3BA6E67A516A43877E1AA79A16E11427D,1440,1280,WEBP,RGBA,yes,yes,"[0,255]","[293,5,1147,1273]",1,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,
E06,final_mirador_foreground_landscape_v01.webp,C:\Users\JOSE DAVID\Downloads\I6\final_mirador_foreground_landscape_v01.webp,168898,455EDBA68398FBB8BC1A508C42D0EB1BC7D2B6AFC236BF5F8928C2356FD60544,2560,900,WEBP,RGBA,yes,yes,"[0,255]","[605,0,1955,899]",1,PASS,APPROVED_PRODUCTION_REFERENCE / NOT_RUNTIME,
